SKU DA PLATAFORMA,SKU SÊNIOR,PLATAFORMA,,,SANDRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYCLOCK,,,,,,,,,,,,,,,,,,,,FECHAMENTO DE ESTOQUE E VENDA,,,
SKU DA BLING,,,,CD SP,,,CD MG,,,MELI SANDRINI SP,,,MELI SANDRINI MG,,,AMAZON SANDRINI SP,,,AMAZON SANDRINI MG,,,MAGALU SANDRINI SP,,,SHOPEE SPORTS SANDRINI SP,,,SHOPEE  MENSWEAR SANDRINI SP,,,DAFITI SANDRINI SP,,,NETSHOES,,,,CD SP,,,CD MG,,,MELI BUYCLOCK SP,,,MELI BUYCLOCK MG,,,MAGALU BUYCLOCKSP,,,AMAZON BUYCLOCK SP,,,SHOPEE BUYCLOCK SP,,,FINAL,,,
SKU COMUM,SKU SÊNIOR,,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS GERAL,é para colocar
260059000CPTAMRT28,KL000702206AAATCN280011,MELI SANDRINI SP,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,sim
2P-CCMZ-V0MB,KRB09000000016CM0M0019,AMAZON SANDRINI SP,,,,,,,,,,,,,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,sim
310603UNTPCPTO,,MELI SANDRINI SP,,,,,,,,3,3,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,sim
32216L0MVNE3,32216L0MVNE3,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,0,50,0,sim
32548GPMVDE2,32548GPMVDE2,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,19,19,17,,,,0,0,0,,0,,,,,19,20,17,sim
32605G0MVNE2,32605G0MVNE2,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,1,54,,,,0,0,0,,,,,,,1,6,54,sim
32605GPMVDE1,32605GPMVDE1,MELI BUYCLOCK MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,5,5,19,,,,,,,,,,5,5,19,sim
32607LPMKDE1K1,32607LPMKDE1K1,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,0,65,0,sim
32638G0MVNE2,32638G0MVNE2,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,32,32,0,,,,0,0,0,,,,,,,32,52,0,sim
32699LPMVDE1,32699LPMVDE1,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,0,0,,,,,,,0,3,0,sim
32703L0MVNE1,32703L0MVNE1,MELI BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46,16,,,,0,0,0,,0,,,,,46,46,16,sim
